race/ethnicity,lunch,test preparation course,math score,reading score,writing score,english score,female,male,associate's degree,bachelor's degree,high school,master's degree,some college,some high school
1,1,1,72,72,74,73,1,0,0,1,0,0,0,0
2,1,0,69,90,88,89,1,0,0,0,0,0,1,0
1,1,1,90,95,93,94,1,0,0,0,0,1,0,0
0,0,1,47,57,44,50.5,0,1,1,0,0,0,0,0
2,1,1,76,78,75,76.5,0,1,0,0,0,0,1,0
1,1,1,71,83,78,80.5,1,0,1,0,0,0,0,0
1,1,0,88,95,92,93.5,1,0,0,0,0,0,1,0
1,0,1,40,43,39,41,0,1,0,0,0,0,1,0
3,0,0,64,64,67,65.5,0,1,0,0,1,0,0,0
1,0,1,38,60,50,55,1,0,0,0,1,0,0,0
2,1,1,58,54,52,53,0,1,1,0,0,0,0,0
3,1,1,40,52,43,47.5,0,1,1,0,0,0,0,0
1,1,1,65,81,73,77,1,0,0,0,1,0,0,0
0,1,0,78,72,70,71,0,1,0,0,0,0,1,0
0,1,1,50,53,58,55.5,1,0,0,0,0,1,0,0
2,1,1,69,75,78,76.5,1,0,0,0,0,0,0,1
2,1,1,88,89,86,87.5,0,1,0,0,1,0,0,0
1,0,1,18,32,28,30,1,0,0,0,0,0,0,1
2,0,0,46,42,46,44,0,1,0,0,0,1,0,0
2,0,1,54,58,61,59.5,1,0,1,0,0,0,0,0
3,1,1,66,69,63,66,0,1,0,0,1,0,0,0
1,0,0,65,75,70,72.5,1,0,0,0,0,0,1,0
3,1,1,44,54,53,53.5,0,1,0,0,0,0,1,0
2,1,1,69,73,73,73,1,0,0,0,0,0,0,1
3,0,0,74,71,80,75.5,0,1,0,1,0,0,0,0
0,0,1,73,74,72,73,0,1,0,0,0,1,0,0
1,1,1,69,54,55,54.5,0,1,0,0,0,0,1,0
2,1,1,67,69,75,72,1,0,0,1,0,0,0,0
2,1,1,70,70,65,67.5,0,1,0,0,1,0,0,0
3,1,1,62,70,75,72.5,1,0,0,0,0,1,0,0
3,1,1,69,74,74,74,1,0,0,0,0,0,1,0
1,1,1,63,65,61,63,1,0,0,0,0,0,1,0
4,0,1,56,72,65,68.5,1,0,0,0,0,1,0,0
3,1,1,40,42,38,40,0,1,0,0,0,0,1,0
4,1,1,97,87,82,84.5,0,1,0,0,0,0,1,0
4,1,0,81,81,79,80,0,1,1,0,0,0,0,0
3,1,1,74,81,83,82,1,0,1,0,0,0,0,0
3,0,1,50,64,59,61.5,1,0,0,0,0,0,0,1
